Rank,Symbol,Price,PE Ratio,Score,Score %,Rating,Today Change,VWAP,Volume,52W High,52W Low,From High,From Low,Sector,Top Reason,Screened At,Mode
11,TECHM,"₹1,680",38.2x,51/80,64%,BUY,+2.6%,"₹1,665",2.8M,"₹1,762","₹1,206",4.7%,+39.3%,IT,❌ High PE (38.2x) — expensive,06-Aug-2026 04:21 AM,DEMO
12,BAJAJFINSV,"₹1,820",19.8x,51/80,64%,BUY,+1.6%,"₹1,810",3.2M,"₹2,029","₹1,499",10.3%,+21.4%,NBFC,✅ Good PE (19.8x) — fairly valued,06-Aug-2026 04:21 AM,DEMO
13,ONGC,₹265,7.8x,50/80,62%,BUY,+1.4%,₹263,28.0M,₹342,₹220,22.5%,+20.5%,Energy,✅ Very low PE (7.8x) — undervalued!,06-Aug-2026 04:21 AM,DEMO
14,RELIANCE,"₹2,980",26.5x,49/80,61%,BUY,+1.2%,"₹2,960",8.5M,"₹3,217","₹2,220",7.4%,+34.2%,Energy,⚠️  Moderate PE (26.5x),06-Aug-2026 04:21 AM,DEMO
15,WIPRO,₹560,22.8x,49/80,61%,BUY,+0.4%,₹558,6.2M,₹610,₹422,8.2%,+32.7%,IT,⚠️  Moderate PE (22.8x),06-Aug-2026 04:21 AM,DEMO
16,JSWSTEEL,₹980,22.3x,49/80,61%,BUY,+1.9%,₹972,8.5M,"₹1,063",₹762,7.8%,+28.6%,Steel,⚠️  Moderate PE (22.3x),06-Aug-2026 04:21 AM,DEMO
17,ITC,₹468,28.4x,47/80,59%,BUY,+0.9%,₹465,22.0M,₹520,₹401,10.0%,+16.7%,FMCG,⚠️  Moderate PE (28.4x),06-Aug-2026 04:21 AM,DEMO
18,COALINDIA,₹412,8.2x,47/80,59%,BUY,+0.9%,₹410,15.0M,₹543,₹386,24.1%,+6.7%,Mining,✅ Very low PE (8.2x) — undervalued!,06-Aug-2026 04:21 AM,DEMO
19,BAJFINANCE,"₹7,280",31.4x,46/80,57%,BUY,+3.2%,"₹7,220",2.1M,"₹7,989","₹6,187",8.9%,+17.7%,NBFC,❌ High PE (31.4x) — expensive,06-Aug-2026 04:21 AM,DEMO
20,LT,"₹3,680",35.2x,41/80,51%,WATCH,+1.9%,"₹3,655",3.1M,"₹3,963","₹3,112",7.1%,+18.3%,Infra,❌ High PE (35.2x) — expensive,06-Aug-2026 04:21 AM,DEMO
21,SUNPHARMA,"₹1,820",36.5x,41/80,51%,WATCH,+1.8%,"₹1,808",3.8M,"₹1,960","₹1,432",7.1%,+27.1%,Pharma,❌ High PE (36.5x) — expensive,06-Aug-2026 04:21 AM,DEMO
22,MARUTI,"₹12,800",27.4x,38/80,48%,WATCH,+0.6%,"₹12,750",0.8M,"₹13,680","₹10,200",6.4%,+25.5%,Auto,⚠️  Moderate PE (27.4x),06-Aug-2026 04:21 AM,DEMO
23,TCS,"₹4,120",30.2x,36/80,45%,WATCH,+0.8%,"₹4,100",3.2M,"₹4,592","₹3,311",10.3%,+24.4%,IT,❌ High PE (30.2x) — expensive,06-Aug-2026 04:21 AM,DEMO
24,KOTAKBANK,"₹2,050",22.1x,31/80,39%,AVOID,-0.8%,"₹2,065",4.2M,"₹2,301","₹1,544",10.9%,+32.8%,Banking,⚠️  Moderate PE (22.1x),06-Aug-2026 04:21 AM,DEMO
25,NESTLEIND,"₹2,350",68.9x,25/80,31%,AVOID,+0.2%,"₹2,345",0.4M,"₹2,778","₹2,100",15.4%,+11.9%,FMCG,❌ High PE (68.9x) — expensive,06-Aug-2026 04:21 AM,DEMO
26,INFY,"₹1,650",24.8x,24/80,30%,AVOID,-0.5%,"₹1,660",7.8M,"₹2,009","₹1,358",17.9%,+21.5%,IT,⚠️  Moderate PE (24.8x),06-Aug-2026 04:21 AM,DEMO
27,TITAN,"₹3,620",88.2x,18/80,22%,AVOID,-0.3%,"₹3,640",1.2M,"₹3,886","₹2,982",6.8%,+21.4%,Jewellery,❌ High PE (88.2x) — expensive,06-Aug-2026 04:21 AM,DEMO
28,ULTRACEMCO,"₹11,200",42.1x,18/80,22%,AVOID,-1.5%,"₹11,260",0.6M,"₹12,350","₹9,280",9.3%,+20.7%,Cement,❌ High PE (42.1x) — expensive,06-Aug-2026 04:21 AM,DEMO
29,HINDUNILVR,"₹2,410",55.3x,10/80,12%,AVOID,-1.2%,"₹2,430",1.8M,"₹2,975","₹2,186",19.0%,+10.2%,FMCG,❌ High PE (55.3x) — expensive,06-Aug-2026 04:21 AM,DEMO
30,ASIANPAINT,"₹2,280",48.6x,5/80,6%,AVOID,-2.1%,"₹2,300",1.5M,"₹3,395","₹2,198",32.8%,+3.7%,Paint,❌ High PE (48.6x) — expensive,06-Aug-2026 04:21 AM,DEMO
