Rank,Symbol,Price,Change %,PE,PB,Score,Score %,Rating,52W High,52W Low,From High,From Low,Volume,Indices,Top Reason,Screened At
20,GLENMARK,"₹1,794.11",+5.25%,25.8x,1.8x,62,62%,BUY,"₹2,556.13","₹1,163.46",29.8%,+54.2%,27.10M,Pharma,⚠️  Moderate PE (25.8x),06-Aug-2026 06:06 AM
21,CESC,₹978.01,-0.64%,12.2x,2.0x,62,62%,BUY,"₹1,000.28",₹694.00,2.2%,+40.9%,27.84M,Power,✅ Low PE (12.2x) — good value,06-Aug-2026 06:06 AM
22,NBCC,"₹4,893.74",+1.18%,16.3x,6.9x,62,62%,BUY,"₹5,915.93","₹2,709.43",17.3%,+80.6%,21.43M,Infra,✅ Fair PE (16.3x),06-Aug-2026 06:06 AM
23,ACC,"₹2,774.83",+2.37%,40.1x,8.0x,62,62%,BUY,"₹3,257.60","₹1,096.05",14.8%,+153.2%,21.03M,Cement,❌ High PE (40.1x),06-Aug-2026 06:06 AM
24,TATACHEM,"₹4,837.17",+1.00%,20.9x,0.9x,62,62%,BUY,"₹6,172.24","₹2,483.88",21.6%,+94.7%,5.05M,Chemical,⚠️  Moderate PE (20.9x),06-Aug-2026 06:06 AM
25,ATUL,"₹1,513.00",+3.93%,20.2x,2.0x,62,62%,BUY,"₹1,607.24","₹1,217.61",5.9%,+24.3%,12.84M,Chemical,⚠️  Moderate PE (20.2x),06-Aug-2026 06:06 AM
26,TVSMOTOR,"₹4,909.99",+1.10%,11.3x,6.5x,61,61%,BUY,"₹5,510.57","₹3,275.97",10.9%,+49.9%,25.71M,Auto,✅ Low PE (11.3x) — good value,06-Aug-2026 06:06 AM
27,MARICO,"₹1,707.96",+4.47%,63.5x,1.7x,61,61%,BUY,"₹2,324.46",₹924.13,26.5%,+84.8%,9.08M,FMCG,❌ High PE (63.5x),06-Aug-2026 06:06 AM
28,RELIANCE,"₹2,566.21",+2.86%,12.5x,0.5x,61,61%,BUY,"₹3,975.08","₹1,926.10",35.4%,+33.2%,29.82M,Energy,✅ Low PE (12.5x) — good value,06-Aug-2026 06:06 AM
29,ALKEM,"₹4,433.66",+2.76%,28.9x,3.6x,60,60%,BUY,"₹5,308.94","₹2,664.60",16.5%,+66.4%,28.86M,Pharma,⚠️  Moderate PE (28.9x),06-Aug-2026 06:06 AM
30,BPCL,"₹1,191.22",+4.20%,8.9x,6.4x,60,60%,BUY,"₹1,523.41","₹1,057.69",21.8%,+12.6%,10.89M,Energy,✅ Very low PE (8.9x) — deep value!,06-Aug-2026 06:06 AM
31,GAIL,"₹3,676.52",+3.23%,7.7x,6.8x,60,60%,BUY,"₹4,825.33","₹2,973.45",23.8%,+23.6%,19.79M,Energy,✅ Very low PE (7.7x) — deep value!,06-Aug-2026 06:06 AM
32,HG,"₹1,702.97",+2.77%,15.6x,2.3x,60,60%,BUY,"₹2,285.52",₹994.56,25.5%,+71.2%,7.77M,Infra,✅ Fair PE (15.6x),06-Aug-2026 06:06 AM
33,WIPRO,"₹1,570.07",+6.71%,22.4x,3.7x,59,59%,WATCH,"₹1,977.77","₹1,152.88",20.6%,+36.2%,20.70M,IT,⚠️  Moderate PE (22.4x),06-Aug-2026 06:06 AM
34,SHREECEM,"₹3,446.79",+4.09%,48.0x,2.8x,59,59%,WATCH,"₹3,766.07","₹2,567.85",8.5%,+34.2%,9.30M,Cement,❌ High PE (48.0x),06-Aug-2026 06:06 AM
35,BANDHANBNK,"₹6,046.46",-3.81%,12.1x,7.3x,58,58%,WATCH,"₹6,299.01","₹3,996.95",4.0%,+51.3%,19.70M,Banking,✅ Low PE (12.1x) — good value,06-Aug-2026 06:06 AM
36,TATAPOWER,"₹5,126.71",+1.80%,17.1x,0.7x,58,58%,WATCH,"₹8,262.41","₹3,065.79",38.0%,+67.2%,22.37M,Power,✅ Fair PE (17.1x),06-Aug-2026 06:06 AM
37,NHPC,"₹1,310.96",-0.58%,17.0x,3.9x,58,58%,WATCH,"₹1,386.32",₹785.52,5.4%,+66.9%,19.59M,Power,✅ Fair PE (17.0x),06-Aug-2026 06:06 AM
38,TEJAS,"₹5,433.61",+3.38%,28.6x,7.5x,58,58%,WATCH,"₹7,011.58","₹3,603.32",22.5%,+50.8%,10.37M,Telecom,⚠️  Moderate PE (28.6x),06-Aug-2026 06:06 AM
39,EICHERMOT,"₹5,263.55",+0.11%,22.3x,5.2x,57,57%,WATCH,"₹6,160.13","₹2,862.44",14.6%,+83.9%,21.47M,Auto,⚠️  Moderate PE (22.3x),06-Aug-2026 06:06 AM
40,DIVISLAB,₹697.50,+1.26%,25.9x,1.6x,57,57%,WATCH,₹732.03,₹536.86,4.7%,+29.9%,23.29M,Pharma,⚠️  Moderate PE (25.9x),06-Aug-2026 06:06 AM
41,CHOLAFIN,"₹1,574.75",+1.00%,23.9x,7.4x,57,57%,WATCH,"₹1,880.75",₹659.97,16.3%,+138.6%,15.09M,NBFC,⚠️  Moderate PE (23.9x),06-Aug-2026 06:06 AM
42,BIRLACORPN,₹319.09,+1.19%,27.5x,1.4x,57,57%,WATCH,₹345.47,₹274.16,7.6%,+16.4%,22.43M,Cement,⚠️  Moderate PE (27.5x),06-Aug-2026 06:06 AM
43,FEDERALBNK,"₹3,826.95",+0.31%,13.2x,2.0x,56,56%,WATCH,"₹4,867.03","₹2,397.47",21.4%,+59.6%,12.79M,Banking,✅ Low PE (13.2x) — good value,06-Aug-2026 06:06 AM
44,CANBK,"₹3,111.99",-1.03%,15.6x,4.5x,56,56%,WATCH,"₹3,209.45","₹1,986.69",3.0%,+56.6%,29.98M,Banking,✅ Fair PE (15.6x),06-Aug-2026 06:06 AM
45,NMDC,"₹4,101.28",-1.64%,15.7x,2.5x,56,56%,WATCH,"₹4,661.34","₹2,009.10",12.0%,+104.1%,8.34M,Steel,✅ Fair PE (15.7x),06-Aug-2026 06:06 AM
46,INDUSINDBK,"₹1,211.00",+0.92%,19.4x,1.4x,55,55%,WATCH,"₹2,196.92",₹767.13,44.9%,+57.9%,2.31M,Banking,✅ Fair PE (19.4x),06-Aug-2026 06:06 AM
47,BRITANNIA,"₹1,537.95",+4.74%,53.5x,2.8x,55,55%,WATCH,"₹2,966.95",₹978.28,48.2%,+57.2%,26.06M,FMCG,❌ High PE (53.5x),06-Aug-2026 06:06 AM
48,LTFH,"₹1,650.73",+0.74%,21.6x,3.5x,55,55%,WATCH,"₹2,175.16","₹1,069.23",24.1%,+54.4%,20.29M,NBFC,⚠️  Moderate PE (21.6x),06-Aug-2026 06:06 AM
49,RAMCOCEM,"₹6,648.53",+0.76%,29.4x,2.4x,55,55%,WATCH,"₹8,345.72","₹3,731.31",20.3%,+78.2%,15.37M,Cement,⚠️  Moderate PE (29.4x),06-Aug-2026 06:06 AM
50,AXISBANK,₹252.27,+8.52%,24.0x,2.1x,54,54%,WATCH,₹355.21,₹173.74,29.0%,+45.2%,13.31M,Banking,⚠️  Moderate PE (24.0x),06-Aug-2026 06:06 AM
51,MARUTI,"₹4,722.23",-1.90%,26.7x,0.9x,54,54%,WATCH,"₹5,235.48","₹2,552.79",9.8%,+85.0%,22.86M,Auto,⚠️  Moderate PE (26.7x),06-Aug-2026 06:06 AM
52,NESTLEIND,"₹1,857.30",+1.01%,44.7x,2.9x,54,54%,WATCH,"₹2,388.07","₹1,006.52",22.2%,+84.5%,17.62M,FMCG,❌ High PE (44.7x),06-Aug-2026 06:06 AM
53,TORNTPOWER,"₹5,483.30",-0.24%,19.6x,6.1x,54,54%,WATCH,"₹6,328.20","₹2,454.03",13.4%,+123.4%,16.09M,Power,✅ Fair PE (19.6x),06-Aug-2026 06:06 AM
54,KNRCON,₹538.07,+0.78%,18.9x,3.9x,54,54%,WATCH,₹629.37,₹453.05,14.5%,+18.8%,18.34M,Infra,✅ Fair PE (18.9x),06-Aug-2026 06:06 AM
55,PNCINFRA,₹234.08,-4.43%,27.7x,0.7x,54,54%,WATCH,₹243.73,₹137.51,4.0%,+70.2%,28.49M,Infra,⚠️  Moderate PE (27.7x),06-Aug-2026 06:06 AM
56,VBL,"₹2,692.35",+0.24%,43.8x,7.2x,53,53%,WATCH,"₹2,831.68","₹1,164.69",4.9%,+131.2%,6.86M,FMCG,❌ High PE (43.8x),06-Aug-2026 06:06 AM
57,RATNAMANI,"₹3,739.65",+2.52%,24.6x,5.0x,53,53%,WATCH,"₹6,061.70","₹2,322.18",38.3%,+61.0%,23.90M,Steel,⚠️  Moderate PE (24.6x),06-Aug-2026 06:06 AM
58,GALLANTT,"₹2,473.38",-0.48%,10.2x,5.3x,53,53%,WATCH,"₹3,019.07","₹1,221.37",18.1%,+102.5%,26.16M,Steel,✅ Low PE (10.2x) — good value,06-Aug-2026 06:06 AM
59,IRCON,"₹4,125.91",+0.79%,38.1x,0.7x,53,53%,WATCH,"₹5,317.31","₹2,525.38",22.4%,+63.4%,21.53M,Infra,❌ High PE (38.1x),06-Aug-2026 06:06 AM
60,CREDITACC,"₹1,637.38",+0.45%,20.0x,7.5x,53,53%,WATCH,"₹2,178.72","₹1,051.78",24.8%,+55.7%,19.30M,NBFC,✅ Fair PE (20.0x),06-Aug-2026 06:06 AM
61,IOB,"₹4,419.33",+0.86%,18.4x,5.4x,52,52%,WATCH,"₹5,836.53","₹3,311.03",24.3%,+33.5%,10.52M,Banking,✅ Fair PE (18.4x),06-Aug-2026 06:06 AM
62,MRF,"₹1,109.24",-4.02%,12.1x,5.7x,52,52%,WATCH,"₹1,257.48",₹705.10,11.8%,+57.3%,28.63M,Auto,✅ Low PE (12.1x) — good value,06-Aug-2026 06:06 AM
63,GRANULES,"₹1,457.03",+4.66%,44.4x,0.6x,52,52%,WATCH,"₹3,719.56","₹1,109.39",60.8%,+31.3%,16.00M,Pharma,❌ High PE (44.4x),06-Aug-2026 06:06 AM
64,HINDPETRO,₹741.40,-2.89%,14.7x,4.1x,52,52%,WATCH,₹775.36,₹545.98,4.4%,+35.8%,24.90M,Energy,✅ Low PE (14.7x) — good value,06-Aug-2026 06:06 AM
65,HEIDELBERG,"₹3,640.62",+1.41%,37.8x,6.6x,52,52%,WATCH,"₹4,494.19","₹1,790.81",19.0%,+103.3%,29.00M,Cement,❌ High PE (37.8x),06-Aug-2026 06:06 AM
66,POWERGRID,"₹2,236.83",+4.66%,24.5x,7.7x,52,52%,WATCH,"₹3,154.42","₹1,588.65",29.1%,+40.8%,23.46M,Power,⚠️  Moderate PE (24.5x),06-Aug-2026 06:06 AM
67,BHARTIARTL,"₹4,606.76",+2.07%,35.8x,6.6x,52,52%,WATCH,"₹5,398.01","₹3,120.07",14.7%,+47.6%,10.96M,Telecom,❌ High PE (35.8x),06-Aug-2026 06:06 AM
68,TRENT,"₹2,374.61",+3.90%,56.5x,5.7x,52,52%,WATCH,"₹4,001.56","₹1,271.22",40.7%,+86.8%,11.42M,Retail,❌ High PE (56.5x),06-Aug-2026 06:06 AM
69,PRESTIGE,"₹1,387.72",+3.79%,55.6x,6.1x,52,52%,WATCH,"₹1,629.04","₹1,065.92",14.8%,+30.2%,25.82M,Real Estate,❌ High PE (55.6x),06-Aug-2026 06:06 AM
70,HDFCBANK,₹253.79,-4.90%,13.0x,3.4x,51,51%,WATCH,₹304.31,₹128.64,16.6%,+97.3%,1.69M,Banking,✅ Low PE (13.0x) — good value,06-Aug-2026 06:06 AM
71,TATAMOTORS,"₹4,846.59",+0.14%,15.3x,6.4x,51,51%,WATCH,"₹5,969.63","₹2,954.55",18.8%,+64.0%,4.93M,Auto,✅ Fair PE (15.3x),06-Aug-2026 06:06 AM
72,LUPIN,"₹5,588.33",-0.14%,37.2x,6.8x,51,51%,WATCH,"₹5,964.26","₹3,113.82",6.3%,+79.5%,29.08M,Pharma,❌ High PE (37.2x),06-Aug-2026 06:06 AM
73,HINDZINC,₹640.78,-0.16%,23.7x,4.0x,51,51%,WATCH,₹722.64,₹285.15,11.3%,+124.7%,13.34M,Steel,⚠️  Moderate PE (23.7x),06-Aug-2026 06:06 AM
74,APL,"₹3,246.69",-3.21%,8.4x,5.8x,51,51%,WATCH,"₹4,015.84","₹1,894.00",19.2%,+71.4%,12.00M,Steel,✅ Very low PE (8.4x) — deep value!,06-Aug-2026 06:06 AM
75,MOIL,"₹1,765.25",+2.67%,24.5x,1.6x,51,51%,WATCH,"₹2,301.55","₹1,470.06",23.3%,+20.1%,26.14M,Steel,⚠️  Moderate PE (24.5x),06-Aug-2026 06:06 AM
76,WELCORP,"₹6,208.33",-0.16%,22.6x,5.9x,50,50%,WATCH,"₹6,817.94","₹3,806.54",8.9%,+63.1%,28.55M,Steel,⚠️  Moderate PE (22.6x),06-Aug-2026 06:06 AM
77,KEC,"₹3,190.98",-0.69%,33.0x,5.6x,50,50%,WATCH,"₹3,328.90","₹1,550.65",4.1%,+105.8%,22.22M,Infra,❌ High PE (33.0x),06-Aug-2026 06:06 AM
78,SHOPERSTOP,"₹2,079.57",-1.94%,58.8x,6.3x,50,50%,WATCH,"₹2,164.47",₹870.19,3.9%,+139.0%,26.52M,Retail,❌ High PE (58.8x),06-Aug-2026 06:06 AM
79,OBEROIRLTY,"₹3,137.90",-3.08%,50.0x,2.1x,50,50%,WATCH,"₹3,254.43","₹1,313.82",3.6%,+138.8%,19.98M,Real Estate,❌ High PE (50.0x),06-Aug-2026 06:06 AM
80,NATCOPHARM,₹170.56,-0.67%,38.4x,1.4x,49,49%,WATCH,₹181.01,₹75.29,5.8%,+126.5%,746.7K,Pharma,❌ High PE (38.4x),06-Aug-2026 06:06 AM
81,RVNL,"₹2,255.67",+2.34%,29.3x,3.8x,49,49%,WATCH,"₹3,150.67","₹1,637.65",28.4%,+37.7%,25.32M,Infra,⚠️  Moderate PE (29.3x),06-Aug-2026 06:06 AM
82,IDEA,"₹1,147.16",+4.31%,34.1x,3.6x,49,49%,WATCH,"₹1,571.42",₹772.96,27.0%,+48.4%,18.75M,Telecom,❌ High PE (34.1x),06-Aug-2026 06:06 AM
83,VINDHYATEL,"₹2,443.17",+2.76%,39.2x,7.5x,48,48%,WATCH,"₹3,737.76","₹1,623.12",34.6%,+50.5%,5.04M,Telecom,❌ High PE (39.2x),06-Aug-2026 06:06 AM
84,BAJAJFINSV,"₹4,218.16",-1.34%,18.5x,3.3x,47,47%,WATCH,"₹4,797.72","₹2,510.52",12.1%,+68.0%,629.6K,NBFC,✅ Fair PE (18.5x),06-Aug-2026 06:06 AM
85,RAILTEL,"₹2,999.43",+3.56%,69.0x,0.8x,47,47%,WATCH,"₹4,315.95","₹2,032.77",30.5%,+47.6%,14.01M,Telecom,❌ High PE (69.0x),06-Aug-2026 06:06 AM
86,HINDUNILVR,₹228.34,+2.23%,42.8x,1.1x,46,46%,WATCH,₹369.30,₹168.32,38.2%,+35.7%,25.28M,FMCG,❌ High PE (42.8x),06-Aug-2026 06:06 AM
87,ADANIGREEN,"₹5,234.14",-4.21%,19.0x,7.8x,46,46%,WATCH,"₹5,790.92","₹3,254.47",9.6%,+60.8%,1.89M,Power,✅ Fair PE (19.0x),06-Aug-2026 06:06 AM
88,TORNTPHARM,"₹3,692.89",-0.50%,25.9x,0.7x,45,45%,WATCH,"₹4,785.28","₹2,225.52",22.8%,+65.9%,28.99M,Pharma,⚠️  Moderate PE (25.9x),06-Aug-2026 06:06 AM
89,ASHOKA,"₹3,624.83",-2.47%,17.9x,2.2x,45,45%,WATCH,"₹4,730.23","₹2,249.43",23.4%,+61.1%,7.29M,Infra,✅ Fair PE (17.9x),06-Aug-2026 06:06 AM
90,SJVN,₹940.78,+0.26%,21.8x,2.6x,45,45%,WATCH,"₹1,125.53",₹611.34,16.4%,+53.9%,16.73M,Power,⚠️  Moderate PE (21.8x),06-Aug-2026 06:06 AM
91,MAHABANK,"₹2,072.74",+0.54%,20.9x,4.0x,44,44%,AVOID,"₹3,695.04","₹1,560.06",43.9%,+32.9%,10.88M,Banking,⚠️  Moderate PE (20.9x),06-Aug-2026 06:06 AM
92,COFORGE,"₹4,184.85",+0.56%,34.8x,3.3x,44,44%,AVOID,"₹5,651.34","₹1,738.22",25.9%,+140.8%,18.02M,IT,❌ High PE (34.8x),06-Aug-2026 06:06 AM
93,M&M,"₹2,756.00",-3.00%,23.6x,2.9x,44,44%,AVOID,"₹3,256.65","₹1,285.06",15.4%,+114.5%,14.53M,Auto,⚠️  Moderate PE (23.6x),06-Aug-2026 06:06 AM
94,MOTHERSON,"₹3,552.03",+1.38%,20.5x,3.9x,44,44%,AVOID,"₹5,297.88","₹2,402.48",33.0%,+47.8%,28.17M,Auto,⚠️  Moderate PE (20.5x),06-Aug-2026 06:06 AM
95,IGL,"₹3,055.95",-0.26%,19.7x,7.4x,44,44%,AVOID,"₹4,521.67","₹1,696.60",32.4%,+80.1%,14.84M,Energy,✅ Fair PE (19.7x),06-Aug-2026 06:06 AM
96,TATASTEEL,"₹4,115.21",+1.78%,24.4x,2.5x,44,44%,AVOID,"₹5,332.60","₹3,525.84",22.8%,+16.7%,10.16M,Steel,⚠️  Moderate PE (24.4x),06-Aug-2026 06:06 AM
97,ADANIPORTS,"₹1,477.46",-1.04%,24.1x,7.8x,44,44%,AVOID,"₹1,839.48",₹583.76,19.7%,+153.1%,11.46M,Infra,⚠️  Moderate PE (24.1x),06-Aug-2026 06:06 AM
98,NCC,"₹1,683.32",-0.72%,20.3x,3.9x,44,44%,AVOID,"₹2,039.73",₹892.46,17.5%,+88.6%,4.21M,Infra,⚠️  Moderate PE (20.3x),06-Aug-2026 06:06 AM
99,CANFINHOME,"₹2,847.15",-5.65%,13.1x,3.5x,43,43%,AVOID,"₹3,639.26","₹1,949.37",21.8%,+46.1%,22.03M,NBFC,✅ Low PE (13.1x) — good value,06-Aug-2026 06:06 AM
100,ITI,"₹1,954.70",+0.88%,73.9x,5.7x,43,43%,AVOID,"₹3,073.00","₹1,141.80",36.4%,+71.2%,27.67M,Telecom,❌ High PE (73.9x),06-Aug-2026 06:06 AM
101,DEEPAKNTR,"₹3,365.69",+1.75%,30.5x,6.9x,43,43%,AVOID,"₹6,086.06","₹1,887.74",44.7%,+78.3%,10.26M,Chemical,❌ High PE (30.5x),06-Aug-2026 06:06 AM
102,OFSS,₹701.02,+2.31%,24.2x,4.6x,42,42%,AVOID,₹923.07,₹619.33,24.1%,+13.2%,6.25M,IT,⚠️  Moderate PE (24.2x),06-Aug-2026 06:06 AM
103,ZENSAR,₹159.66,+0.86%,38.3x,7.7x,42,42%,AVOID,₹179.51,₹109.25,11.1%,+46.1%,739.0K,IT,❌ High PE (38.3x),06-Aug-2026 06:06 AM
104,ZYDUSWELL,"₹2,357.95",-1.24%,47.7x,3.7x,42,42%,AVOID,"₹2,640.92","₹1,387.98",10.7%,+69.9%,7.86M,FMCG,❌ High PE (47.7x),06-Aug-2026 06:06 AM
105,MANAPPURAM,₹904.73,+3.50%,27.9x,4.5x,42,42%,AVOID,"₹1,481.91",₹771.64,38.9%,+17.2%,28.07M,NBFC,⚠️  Moderate PE (27.9x),06-Aug-2026 06:06 AM
106,GTLINFRA,"₹2,916.26",+4.03%,25.2x,7.0x,42,42%,AVOID,"₹4,312.93","₹2,690.36",32.4%,+8.4%,10.75M,Telecom,⚠️  Moderate PE (25.2x),06-Aug-2026 06:06 AM
107,BATA,₹458.12,+3.47%,67.1x,3.0x,42,42%,AVOID,₹936.79,₹337.20,51.1%,+35.9%,4.92M,Retail,❌ High PE (67.1x),06-Aug-2026 06:06 AM
108,PHOENIXLTD,"₹2,595.07",+2.63%,35.5x,4.6x,42,42%,AVOID,"₹3,953.60","₹1,823.05",34.4%,+42.3%,9.05M,Real Estate,❌ High PE (35.5x),06-Aug-2026 06:06 AM
109,MAHLIFE,"₹4,611.57",+0.47%,58.0x,5.7x,42,42%,AVOID,"₹6,668.24","₹2,165.39",30.8%,+113.0%,26.67M,Real Estate,❌ High PE (58.0x),06-Aug-2026 06:06 AM
110,SUNTECK,₹500.28,+3.78%,42.3x,5.0x,42,42%,AVOID,₹721.59,₹373.06,30.7%,+34.1%,28.06M,Real Estate,❌ High PE (42.3x),06-Aug-2026 06:06 AM
111,ICICIBANK,"₹4,501.55",-0.04%,9.2x,1.1x,41,41%,AVOID,"₹7,991.94","₹3,021.38",43.7%,+49.0%,707.8K,Banking,✅ Very low PE (9.2x) — deep value!,06-Aug-2026 06:06 AM
112,EMAMILTD,"₹1,293.39",+2.83%,33.5x,1.3x,41,41%,AVOID,"₹2,062.22","₹1,080.00",37.3%,+19.8%,6.16M,FMCG,❌ High PE (33.5x),06-Aug-2026 06:06 AM
113,RELAXO,₹637.90,+0.92%,43.3x,1.3x,41,41%,AVOID,"₹1,172.73",₹455.74,45.6%,+40.0%,26.31M,Retail,❌ High PE (43.3x),06-Aug-2026 06:06 AM
114,BRIGADE,"₹4,208.08",+1.28%,46.2x,1.0x,40,40%,AVOID,"₹5,986.31","₹3,068.82",29.7%,+37.1%,1.58M,Real Estate,❌ High PE (46.2x),06-Aug-2026 06:06 AM
115,HCLTECH,"₹2,302.17",-0.34%,35.4x,1.4x,39,39%,AVOID,"₹2,862.40","₹1,466.92",19.6%,+56.9%,15.10M,IT,❌ High PE (35.4x),06-Aug-2026 06:06 AM
116,TATAELXSI,"₹1,248.48",+2.50%,39.3x,2.6x,39,39%,AVOID,"₹2,572.38","₹1,076.89",51.5%,+15.9%,7.39M,IT,❌ High PE (39.3x),06-Aug-2026 06:06 AM
117,ABFRL,"₹2,573.83",-3.77%,59.8x,2.6x,39,39%,AVOID,"₹3,179.32","₹1,218.31",19.0%,+111.3%,10.19M,Retail,❌ High PE (59.8x),06-Aug-2026 06:06 AM
118,AAPL,"₹1,100.45",-3.50%,32.7x,3.1x,39,39%,AVOID,"₹1,394.97",₹423.33,21.1%,+160.0%,18.37M,Chemical,❌ High PE (32.7x),06-Aug-2026 06:06 AM
119,TCS,₹593.61,-2.52%,20.5x,3.3x,38,38%,AVOID,₹704.48,₹336.81,15.7%,+76.2%,4.28M,IT,⚠️  Moderate PE (20.5x),06-Aug-2026 06:06 AM
120,SAIL,"₹2,417.65",+0.36%,13.8x,3.4x,38,38%,AVOID,"₹5,023.27","₹1,969.59",51.9%,+22.7%,24.42M,Steel,✅ Low PE (13.8x) — good value,06-Aug-2026 06:06 AM
121,NAVINFLUOR,"₹1,541.17",-3.43%,37.0x,6.6x,38,38%,AVOID,"₹1,652.36","₹1,092.74",6.7%,+41.0%,12.18M,Chemical,❌ High PE (37.0x),06-Aug-2026 06:06 AM
122,LAURUSLABS,"₹4,400.37",+3.69%,44.1x,5.5x,37,37%,AVOID,"₹7,442.41","₹3,669.95",40.9%,+19.9%,8.77M,Pharma,❌ High PE (44.1x),06-Aug-2026 06:06 AM
123,TATACOMM,₹487.76,-0.28%,22.8x,1.0x,37,37%,AVOID,₹545.68,₹420.45,10.6%,+16.0%,3.44M,Telecom,⚠️  Moderate PE (22.8x),06-Aug-2026 06:06 AM
124,CAMPUS,"₹3,263.82",-1.12%,68.3x,3.2x,37,37%,AVOID,"₹4,300.35","₹2,112.96",24.1%,+54.5%,7.64M,Retail,❌ High PE (68.3x),06-Aug-2026 06:06 AM
125,BAJAJ-AUTO,₹835.96,-2.18%,14.0x,0.7x,36,36%,AVOID,"₹1,572.19",₹699.79,46.8%,+19.5%,11.31M,Auto,✅ Low PE (14.0x) — good value,06-Aug-2026 06:06 AM
