SYMBOL,DAY1_PCT_CHANGE,DAY2_PCT_CHANGE,DELTA_PCT_CHANGE,TREND
3MINDIA,0.54,0.1,-0.44000000000000006,down
3PLAND,1.07,0.06,-1.01,down
574GS2026,0.47,0.46,-0.009999999999999953,down
591GS2028,-0.09,,,removed
5PAISA,-0.3,0.4,0.7,up
601GS2028,0.99,,,removed
601GS2030,3.0,-0.07,-3.07,down
603GS2029,,0.0,,added
610GS2031,0.0,-2.13,-2.13,down
636GS2031,0.47,,,removed
63MOONS,-0.55,-0.05,0.5,up
648GS2035,2.11,-0.05,-2.1599999999999997,down
654GS2032,1.0,0.0,-1.0,down
662GS2051,,2.28,,added
664GS2027,,-0.63,,added
667GS2035,,4.0,,added
667GS2050,,0.32,,added
668GS2033,0.1,0.15,0.04999999999999999,up
668GS2040,0.19,0.19,0.0,flat
675GS2029,0.0,1.47,1.47,up
676GS2061,-0.82,0.72,1.54,up
68GS2060,3.4,0.16,-3.2399999999999998,down
690GS2065,-0.12,0.16,0.28,up
694GS2036,0.35,0.99,0.64,up
695GS2061,0.0,0.86,0.86,up
697GR2034,,-1.22,,added
699GS2051,2.53,-0.48,-3.01,down
702GS2027,,0.0,,added
706GS2028,-0.29,0.05,0.33999999999999997,up
706GS2041,0.5,1.75,1.25,up
706GS2046,,-3.74,,added
709GS2054,0.66,-0.51,-1.17,down
709GS2074,-0.12,0.02,0.13999999999999999,up
710GS2029,-0.24,,,removed
716GS2050,,2.24,,added
717GS2030,0.01,,,removed
718GS2033,0.76,0.0,-0.76,down
718GS2037,-0.41,0.31,0.72,up
719GS2060,,0.0,,added
720PFCL36,0.5,0.59,0.08999999999999997,up
723GS2039,-0.05,0.1,0.15000000000000002,up
724GS2055,-0.06,0.11,0.16999999999999998,up
724KL41,,-1.04,,added
725GS2063,0.01,-0.17,-0.18000000000000002,down
726GS2032,0.28,-0.83,-1.1099999999999999,down
726GS2033,,-2.75,,added
730PFCL41,0.8,1.62,0.8200000000000001,up
732GS2030,0.19,,,removed
733GS2026,,0.69,,added
734AP35,-5.0,,,removed
734GS2064,-0.25,0.25,0.5,up
734IRFC28,,0.09,,added
734TS38,-5.0,,,removed
735HP34,-5.0,,,removed
735MH31,-3.41,,,removed
735NABAR31,2.86,,,removed
735NHAI31,0.93,,,removed
735WB43,-5.0,-0.53,4.47,up
736GS2052,-0.43,,,removed
737GR2054,0.0,,,removed
737GS2028,0.0,0.87,0.87,up
737NTPC35C,-11.45,14.76,26.21,up
738GS2027,-0.05,0.07,0.12000000000000001,up
738REC27TF,0.03,0.19,0.16,up
73GS2053,0.12,-0.04,-0.16,down
740IIFCL33,-0.34,,,removed
741GS2036,-0.33,0.81,1.1400000000000001,up
743GS2076,0.5,-0.5,-1.0,down
743REC35,,-1.48,,added
744TN55,0.0,,,removed
744TN55A,-3.16,,,removed
746GS2073,0.24,0.0,-0.24,down
746TS49,1.06,,,removed
746UP37,,-5.0,,added
747GJ28,,-5.0,,added
74GS2062,-0.25,-0.48,-0.22999999999999998,down
750GS2056,,-0.51,,added
750IRFC35,,-0.31,,added
751AP41,-5.0,,,removed
751HUDCO28,0.0,0.07,0.07,up
751UP40,,-5.0,,added
752HR42,-5.0,,,removed
753IRFC30,-0.42,0.0,0.42,up
753NTPC30E,0.51,,,removed
753TN37,-4.04,,,removed
754GS2036,-0.08,0.13,0.21000000000000002,up
754MH37,,-5.0,,added
754TN36,,-4.92,,added
754TS53,-5.0,,,removed
754TS55,-5.0,0.0,5.0,up
755MH34,,-5.0,,added
761TN56,-5.0,,,removed
762NTPC35F,0.34,,,removed
762UP33,0.0,,,removed
762WB41,-5.0,,,removed
764HUDCO31,0.09,1.03,0.9400000000000001,up
764IRFC31,0.31,,,removed
764NABAR31,-0.14,-0.07,0.07,up
765TN30,0.7,,,removed
765UP34,-5.0,,,removed
769HUDCO31,,0.18,,added
769NHAI31,0.17,-0.05,-0.22000000000000003,down
76NHAI31,-0.06,0.68,0.74,up
771GS2066,-0.01,0.01,0.02,up
772GS2055,4.74,,,removed
774GJ38,,-5.0,,added
774RJ34,0.0,,,removed
774RJ42,-5.0,,,removed
774UP38,,-5.0,,added
779AP42,,-1.0,,added
779TN32,3.62,,,removed
779UP51,-5.0,,,removed
781KL37,,0.21,,added
781RJ49,,-1.0,,added
781UP41,-5.0,,,removed
783KL49,0.0,,,removed
783MP48,0.0,,,removed
788UP46,,-5.0,,added
791MH39,,4.22,,added
791PN36,,-3.53,,added
791PN41,-5.0,,,removed
792PN44,-5.0,0.0,5.0,up
794TN32,0.0,,,removed
796AP38,,0.14,,added
797IGT31,0.99,0.0,-0.99,down
797TS43,5.0,,,removed
799RJ41,0.0,,,removed
79NHIT35,,-0.4,,added
79NHIT40,1.59,-0.04,-1.6300000000000001,down
79NHIT47,-0.24,1.36,1.6,up
7PFCL31,0.0,0.0,0.0,flat
805NMC30,,0.0,,added
807AP51,-3.54,,,removed
810IRFC27,-0.14,0.14,0.28,up
812REC27,,0.32,,added
81TCHF28,0.59,-0.7,-1.29,down
820IIFL27,-0.2,-0.0,0.2,up
824GS2027,0.0,-0.85,-0.85,down
828GS2032,-0.95,0.05,1.0,up
82HUDCO27,0.1,0.1,0.0,flat
82IGT31,,-0.17,,added
830NHAI27,-0.05,0.14,0.19,up
830PFCL27,,1.66,,added
837IIFL28,,0.98,,added
83GS2042,,0.0,,added
842IIFL26,0.24,-0.09,-0.32999999999999996,down
843IHFL29,0.0,,,removed
846REC28,0.62,0.0,-0.62,down
848NTPC28,,0.0,,added
84CIFCL28,-0.01,0.01,0.02,up
84TCHF28,-0.35,0.54,0.89,up
851HUDCO28,-16.36,0.18,16.54,up
860AEL28,,0.07,,added
862AEL31,-0.44,0.94,1.38,up
865IFL28,,0.41,,added
865IIFL28,0.76,-0.09,-0.85,down
865IIFL31,0.0,0.91,0.91,up
865IRFC29,0.17,0.09,-0.08000000000000002,down
865LTF26,,-0.02,,added
865SCL26,,0.1,,added
865SCL27,0.12,0.13,0.010000000000000009,up
865TCAPS27,-0.12,0.26,0.38,up
866IIFC34B,,0.97,,added
867PFCL33,-1.83,0.49,2.3200000000000003,up
870IIFL28,1.82,-1.69,-3.51,down
871REC28,,-0.4,,added
875AEL29,0.24,,,removed
875IHFL29,0.08,,,removed
875NHAI29,0.28,-0.71,-0.99,down
875SCL23A,,11.3,,added
875SFL27,,0.0,,added
876HUDCO28,-0.13,0.09,0.22,up
87HMDA32,0.02,-0.06,-0.08,down
87HMDA33,1.96,,,removed
87HMDA34,4.41,,,removed
87LTF27,-1.94,-0.01,1.93,up
880IREDA29,-0.54,0.36,0.9,up
885AEL28,0.99,,,removed
885IHL26,0.17,-1.58,-1.75,down
885SCL26,0.0,-0.42,-0.42,down
888ECL28,-1.15,1.26,2.41,up
888IRFC29,0.07,0.01,-0.060000000000000005,down
888SCL25E,0.0,,,removed
890AEL31,-0.0,0.02,0.02,up
890SFIL23A,0.0,0.0,0.0,flat
891IIFCL34,2.0,-0.79,-2.79,down
891NTPC33,-0.39,0.24,0.63,up
892NHPC33,,-0.55,,added
892PFCL33,0.35,-0.2,-0.55,down
897GS2030,-0.09,0.56,0.65,up
897MOFSL29,-1.17,,,removed
898LTF29,0.0,0.32,0.32,up
89IHFL29,,0.2,,added
8ABCL26,0.11,0.0,-0.11,down
901HUDCO34,0.36,-0.08,-0.44,down
901NHB34,0.6,,,removed
903SFL28,0.0,0.0,0.0,flat
905LTF27,0.0,,,removed
905SC24B,0.0,,,removed
910TCAP28,0.0,,,removed
915AEL28,-0.08,-0.01,0.07,up
915APSBC28,0.1,0.07,-0.03,down
915APSBC31,1.11,1.51,0.3999999999999999,up
915SCL26,,-0.67,,added
915SCL27,,-0.65,,added
91D030926,0.32,,,removed
91D081026,0.66,0.03,-0.63,down
91D100926,0.52,,,removed
91D221026,,-0.24,,added
91D291026,4.99,-0.7,-5.69,down
91MOFSL27,-0.29,0.0,0.29,up
920ISF28B,0.0,-1.33,-1.33,down
925AEL26,-0.46,,,removed
925ECL28,0.0,,,removed
925ISF28,0.0,,,removed
925SCFL27,0.25,-0.66,-0.91,down
925SCL2028,,-0.5,,added
925SCL28C,,17.72,,added
925SCL30A,19.42,,,removed
92GS2030,-0.48,-0.14,0.33999999999999997,up
92SFIL28,0.0,,,removed
930AEL30,0.0,,,removed
930APMD29,0.0,,,removed
930APMD30,-1.41,-0.19,1.22,up
930APMD32,0.0,-1.89,-1.89,down
932AEL27,,-0.96,,added
935LTF29,,0.09,,added
935MOFSL29,-2.07,1.33,3.4,up
935TSI30,0.76,,,removed
935TSIIC28,0.75,,,removed
93MOFSL34,,-0.93,,added
943ECL28,-0.17,0.26,0.43000000000000005,up
948SCL26A,1.66,0.08,-1.5799999999999998,down
948SCL27A,,-0.5,,added
948SCL27D,8.15,-0.94,-9.09,down
94SFL28,0.0,,,removed
950ISF27C,-0.1,-0.0,0.1,up
957ICCL25,-0.09,-2.43,-2.3400000000000003,down
957ISFL26,0.1,,,removed
960IIFL30,-0.86,-4.8,-3.94,down
965AEL27,-0.54,0.18,0.72,up
965ISF28,-0.0,,,removed
965SCL25C,1.93,,,removed
965SCL25F,,-8.82,,added
965SCL26Y,-2.68,,,removed
96IIFL28,-0.0,0.02,0.02,up
96IIFL28A,0.02,-0.0,-0.02,down
970CAGL28,0.0,-0.49,-0.49,down
971SCL30,0.05,,,removed
971SCL30A,0.0,,,removed
975ISF28,,-0.79,,added
975SCL28,,0.3,,added
97MOFSL34,-1.46,0.57,2.03,up
97SFL28,0.0,,,removed
980SCL33D,,-16.52,,added
985ECL28,0.34,-0.14,-0.48000000000000004,down
985SFIL28,,7.2,,added
990SCL27,0.0,,,removed
99AEL29,-0.17,0.17,0.34,up
9AEL30,-0.73,2.2,2.93,up
9IHFL27,,-1.91,,added
9IIFL28,-0.98,,,removed
9IIFL28A,-0.58,-0.26,0.31999999999999995,up
9IIFL31,-0.52,,,removed
9PFL31A,0.39,,,removed
9SCL26BA,0.09,0.0,-0.09,down
9SCL27,-1.3,,,removed
A2ZINFRA,0.6,3.95,3.35,up
AAATECH,1.96,-1.26,-3.2199999999999998,down
AADHARHFC,1.92,-1.65,-3.57,down
AAKAAR,-5.0,-4.95,0.04999999999999982,up
AAKASH,-0.11,0.0,0.11,up
AARADHYA,0.0,-2.04,-2.04,down
AAREYDRUGS,-2.98,-0.4,2.58,up
AARNAV,1.38,-0.13,-1.5099999999999998,down
AARON,-0.25,-0.25,0.0,flat
AARTECH,-0.27,-0.53,-0.26,down
AARTIDRUGS,-0.38,1.3,1.6800000000000002,up
AARTIIND,3.14,0.18,-2.96,down
AARTIPHARM,1.35,-0.92,-2.27,down
AARTISURF,1.88,-2.79,-4.67,down
AARVI,-0.31,-1.39,-1.0799999999999998,down
AASTHA,-9.99,-9.99,0.0,flat
AATMAJ,,-5.76,,added
AAVAS,0.04,-0.35,-0.38999999999999996,down
ABAN,4.99,4.33,-0.6600000000000001,down
ABANSENT,2.56,-1.85,-4.41,down
ABB,0.58,-1.75,-2.33,down
ABBOTINDIA,0.25,-0.07,-0.32,down
ABCAPITAL,-0.75,-3.19,-2.44,down
ABCOTS,0.67,-1.08,-1.75,down
ABDL,-1.49,-0.95,0.54,up
ABFRL,1.87,0.11,-1.76,down
ABGSEC,0.77,-0.5,-1.27,down
ABHAPOWER,-0.38,,,removed
ABINFRA,0.3,-0.5,-0.8,down
ABLBL,0.06,-0.85,-0.9099999999999999,down
ABMINTLLTD,-1.96,0.48,2.44,up
ABMKNO,-0.39,-2.44,-2.05,down
ABREL,-2.14,-0.58,1.56,up
ABSL10BANK,0.71,-0.94,-1.65,down
ABSLAMC,0.69,0.12,-0.57,down
ABSLBANETF,0.41,-0.15,-0.5599999999999999,down
ABSLLIQUID,0.0,0.0,0.0,flat
ABSLMSCIN,0.57,0.73,0.16000000000000003,up
ABSLNN50ET,0.35,0.09,-0.26,down
ABSLPSE,0.19,0.0,-0.19,down
ABSMARINE,0.81,-2.03,-2.84,down
ACC,-1.12,-1.13,-0.009999999999999787,down
ACCELYA,-0.08,0.56,0.64,up
ACCENTMIC,0.58,5.72,5.14,up
ACCPL,-0.69,0.64,1.33,up
ACCURACY,-0.83,-1.05,-0.22000000000000008,down
ACE,-2.12,-1.74,0.3800000000000001,up
ACEINTEG,-1.45,-0.63,0.82,up
ACETEC,-0.32,-6.37,-6.05,down
ACI,-1.15,-2.16,-1.0100000000000002,down
ACL,1.18,-0.08,-1.26,down
ACMESOLAR,-1.78,-1.82,-0.040000000000000036,down
ACSTECH,3.7,0.07,-3.6300000000000003,down
ACUTAAS,-0.68,1.14,1.8199999999999998,up
ADANIENSOL,-1.34,0.62,1.96,up
ADANIENT,-0.79,-0.2,0.5900000000000001,up
ADANIGREEN,-0.62,0.07,0.69,up
ADANIPORTS,-0.29,-0.09,0.19999999999999998,up
ADANIPOWER,-0.42,0.42,0.84,up
ADDICTIVE,-4.49,4.97,9.46,up
ADFFOODS,-2.9,-0.65,2.25,up
ADISOFT,1.37,6.61,5.24,up
ADL,-2.3,0.94,3.2399999999999998,up
ADOR,-1.54,-0.09,1.45,up
ADROITINFO,-2.19,1.12,3.31,up
ADSL,-0.04,-2.16,-2.12,down
ADVAIT,1.21,-5.18,-6.39,down
ADVANCE,-3.22,-2.0,1.2200000000000002,up
ADVANIHOTR,0.47,-1.14,-1.6099999999999999,down
ADVENTHTL,-0.11,0.59,0.7,up
ADVENZYMES,-0.89,-1.65,-0.7599999999999999,down
AEGISLOG,0.3,-2.07,-2.3699999999999997,down
AEGISVOPAK,1.71,-1.18,-2.8899999999999997,down
AEL120126,0.0,,,removed
AEPL,1.26,17.98,16.72,up
AEQUS,-0.38,3.87,4.25,up
AEROENTER,-1.38,-3.02,-1.6400000000000001,down
AEROFLEX,-3.84,-2.83,1.0099999999999998,up
AERON,-0.06,0.45,0.51,up
AERONEU,0.11,-0.57,-0.6799999999999999,down
AEROPLANE,-1.89,-1.23,0.6599999999999999,up
AETHER,-0.31,0.45,0.76,up
AFCONS,-0.77,-1.61,-0.8400000000000001,down
AFFLE,1.57,-2.55,-4.12,down
AFFORDABLE,5.0,2.72,-2.28,down
AFIL,-3.72,0.66,4.38,up
AFSL,0.02,-0.1,-0.12000000000000001,down
AGARIND,0.18,-1.84,-2.02,down
AGARWALEYE,2.16,2.62,0.45999999999999996,up
AGARWALTUF,1.04,-0.89,-1.9300000000000002,down
AGI,-1.13,-0.11,1.0199999999999998,up
AGIIL,0.78,-0.46,-1.24,down
AGL,9.96,-4.29,-14.25,down
AGRITECH,-2.49,2.18,4.67,up
AGROPHOS,0.42,-0.21,-0.63,down
AGSTRA,-2.86,0.0,2.86,up
AGUL,-4.96,-4.89,0.07000000000000028,up
AHCL,-1.93,2.39,4.32,up
AHLADA,-0.08,1.68,1.76,up
AHLEAST,0.23,0.58,0.35,up
AHLUCONT,-0.76,-0.84,-0.07999999999999996,down
AHLWEST,1.14,-0.37,-1.5099999999999998,down
AIAENG,3.2,-0.4,-3.6,down
AIIL,4.5,0.07,-4.43,down
AILIMITED,,0.0,,added
AIMTRON,1.23,1.5,0.27,up
AIRAN,-0.73,0.27,1.0,up
AIROLAM,-0.43,-1.69,-1.26,down
AJANTPHARM,0.96,0.54,-0.41999999999999993,down
AJAXENGG,-6.52,-0.47,6.05,up
AJMERA,-0.43,0.15,0.58,up
AJOONI,-1.26,-1.28,-0.020000000000000018,down
AKANKSHA,4.97,4.96,-0.009999999999999787,down
AKASH,-0.38,-0.49,-0.10999999999999999,down
AKCAPIT,-3.36,1.8,5.16,up
AKG,2.61,0.58,-2.03,down
AKI,6.64,-0.44,-7.08,down
AKIKO,0.94,-4.76,-5.699999999999999,down
AKSHAR,0.0,-6.82,-6.82,down
AKSHARCHEM,2.77,-0.93,-3.7,down
AKSHOPTFBR,4.78,3.19,-1.5900000000000003,down
AKUMS,-0.53,5.27,5.8,up
ALANKIT,2.28,-0.12,-2.4,down
ALBERTDAVD,5.45,12.63,7.180000000000001,up
ALEMBICLTD,-0.55,-2.2,-1.6500000000000001,down
ALGOQUANT,-2.01,1.6,3.61,up
ALICON,2.76,0.66,-2.0999999999999996,down
ALIVUS,-0.44,0.35,0.79,up
ALKALI,0.78,-2.14,-2.92,down
ALKEM,-1.74,0.4,2.14,up
ALKYLAMINE,-0.92,-1.46,-0.5399999999999999,down
ALLCARGO,19.9,-5.12,-25.02,down
ALLDIGI,-0.34,0.19,0.53,up
ALLETEC,-1.77,2.6,4.37,up
ALLTIME,-1.26,0.81,2.0700000000000003,up
ALMONDZ,-1.78,0.84,2.62,up
ALOKINDS,0.08,-0.08,-0.16,down
ALPA,3.94,-2.69,-6.63,down
ALPEXSOLAR,-0.21,-1.38,-1.17,down
ALPHA,0.58,-0.06,-0.6399999999999999,down
ALPHAETF,-0.23,0.19,0.42000000000000004,up
ALPHAGEO,-1.1,-1.25,-0.1499999999999999,down
ALPINETEX,-2.31,-4.5,-2.19,down
ALPL30IETF,0.04,0.32,0.28,up
ALUWIND,1.31,-2.38,-3.69,down
AMAGI,-3.74,-0.33,3.41,up
AMANTA,-2.0,-2.0,0.0,flat
AMBAAUTO,-4.65,1.77,6.42,up
AMBALALSA,1.86,6.93,5.069999999999999,up
AMBANIORGO,,0.09,,added
AMBER,-1.34,0.13,1.4700000000000002,up
AMBICAAGAR,-1.08,0.24,1.32,up
AMBIKCO,1.31,4.29,2.98,up
AMBUJACEM,-1.91,-0.57,1.3399999999999999,up
AMCL,0.38,0.7,0.31999999999999995,up
AMDIND,-0.62,1.03,1.65,up
AMJLAND,-0.49,1.0,1.49,up
AMNPLST,-1.56,-0.37,1.19,up
AMRUTANJAN,-0.78,0.27,1.05,up
ANANDRATHI,1.66,1.45,-0.20999999999999996,down
ANANDRATHI,-33.05,1.45,34.5,up
ANANTAM,-0.15,0.7,0.85,up
ANANTRAJ,-1.72,-0.24,1.48,up
ANDHRAPAP,0.1,-1.37,-1.4700000000000002,down
ANDHRSUGAR,0.44,0.99,0.55,up
ANGELONE,-0.7,-1.72,-1.02,down
ANIKINDS,2.04,-0.21,-2.25,down
ANKITMETAL,1.29,1.27,-0.020000000000000018,down
ANLON,0.0,-0.33,-0.33,down
ANMOL,0.4,3.09,2.69,up
ANNAPURNA,9.3,4.09,-5.210000000000001,down
ANONDITA,-2.4,1.29,3.69,up
ANSALAPI,1.71,-0.56,-2.27,down
ANTELOPUS,-1.52,-7.08,-5.5600000000000005,down
ANTGRAPHIC,0.0,-1.33,-1.33,down
ANTHEM,0.0,1.86,1.86,up
ANUHPHR,0.11,0.01,-0.1,down
ANUP,-9.97,-4.88,5.090000000000001,up
ANURAS,-0.27,0.13,0.4,up
ANYA,-1.61,0.0,1.61,up
AONEGOLD,2.37,0.87,-1.5,down
AONELIQUID,0.01,0.04,0.03,up
AONENIFTY,0.3,-0.2,-0.5,down
AONESILVER,0.94,2.45,1.5100000000000002,up
AONETMMQ50,-0.1,0.1,0.2,up
AONETOTAL,0.25,0.08,-0.16999999999999998,down
APARINDS,2.94,3.13,0.18999999999999995,up
APCL,-1.05,-3.12,-2.0700000000000003,down
APCOTEXIND,-1.41,-0.93,0.47999999999999987,up
APEX,-0.69,0.43,1.1199999999999999,up
APEXECO,-4.09,0.76,4.85,up
APLAPOLLO,-0.18,1.29,1.47,up
APLLTD,1.99,-0.52,-2.51,down
APOLLO,1.23,-0.02,-1.25,down
APOLLOHOSP,0.72,-0.33,-1.05,down
APOLLOPIPE,-1.29,-1.88,-0.5899999999999999,down
APOLLOTYRE,1.08,-1.05,-2.13,down
APOLSINHOT,3.56,-2.77,-6.33,down
APRAMEYA,0.31,-2.33,-2.64,down
APS,-3.08,-0.82,2.2600000000000002,up
APSISAERO,1.6,1.99,0.3899999999999999,up
APTECHT,-1.75,-0.75,1.0,up
APTUS,-1.32,-0.06,1.26,up
AQYLON,4.95,-3.82,-8.77,down
ARABIAN,18.06,-4.12,-22.18,down
ARCHIDPLY,2.01,9.08,7.07,up
ARCHIES,1.56,-2.02,-3.58,down
ARCIIL,7.04,-1.32,-8.36,down
ARE&M,-1.21,0.46,1.67,up
ARENTERP,-3.32,0.24,3.5599999999999996,up
ARFIN,1.92,1.21,-0.71,down
ARHAM,4.41,1.03,-3.38,down
ARIES,0.28,-1.4,-1.68,down
ARIHANT,-0.55,-0.51,0.040000000000000036,up
ARIHANTCAP,-1.23,-1.72,-0.49,down
ARIHANTSUP,2.71,-0.67,-3.38,down
ARIS,1.4,0.3,-1.0999999999999999,down
ARKADE,0.44,0.19,-0.25,down
ARMANFIN,-0.89,0.02,0.91,up
ARMOUR,2.93,-4.92,-7.85,down
AROGRANITE,-0.27,-2.76,-2.4899999999999998,down
ARROWGREEN,0.13,4.73,4.6000000000000005,up
ARSHIYA,1.08,2.13,1.0499999999999998,up
ARSSBL,-0.88,-1.33,-0.45000000000000007,down
ARTEMISMED,-3.24,1.48,4.720000000000001,up
ARTNIRMAN,2.45,1.77,-0.6800000000000002,down
ARUNAYA,-0.62,-2.81,-2.19,down
ARVEE,0.41,0.53,0.12000000000000005,up
ARVIND,0.18,2.65,2.4699999999999998,up
ARVINDFASN,-0.4,-0.15,0.25,up
ARVINDPORT,4.93,5.35,0.41999999999999993,up
ARVSMART,1.17,7.87,6.7,up
ASAHIINDIA,-1.38,-1.67,-0.29000000000000004,down
ASAHISONG,-3.09,-2.19,0.8999999999999999,up
ASAL,-1.43,-0.77,0.6599999999999999,up
ASALCBR,0.39,-4.48,-4.87,down
ASHALOG,0.88,3.42,2.54,up
ASHAPURMIN,-1.43,1.27,2.7,up
ASHIANA,-1.09,-1.56,-0.47,down
ASHIKAG,2.76,-4.15,-6.91,down
ASHIMASYN,1.74,0.39,-1.35,down
ASHOKA,-0.05,-1.25,-1.2,down
ASHOKAMET,-0.49,0.85,1.3399999999999999,up
ASHOKLEY,0.28,0.0,-0.28,down
ASHWINI,-1.45,-0.37,1.08,up
ASIANENE,-2.57,4.32,6.890000000000001,up
ASIANHOTNR,3.05,-1.04,-4.09,down
ASIANPAINT,-0.18,-0.73,-0.55,down
ASIANTILES,4.85,-1.55,-6.3999999999999995,down
ASKAUTOLTD,6.47,-6.46,-12.93,down
ASMS,-3.22,0.55,3.7700000000000005,up
ASPINWALL,-2.81,-1.08,1.73,up
ASPIRE,0.0,,,removed
ASTAR,-0.02,0.52,0.54,up
ASTEC,0.62,0.02,-0.6,down
ASTERDM,0.28,2.99,2.71,up
ASTRAL,0.51,0.14,-0.37,down
ASTRAMICRO,-0.4,2.1,2.5,up
ASTRAZEN,-0.41,1.43,1.8399999999999999,up
ASTRON,2.2,0.54,-1.6600000000000001,down
ATALREAL,0.23,1.91,1.68,up
ATAM,-0.2,0.12,0.32,up
ATCENERGY,3.73,-1.89,-5.62,down
ATGL,-0.02,-0.41,-0.38999999999999996,down
ATHERENERG,-1.2,1.95,3.15,up
ATL,10.31,-1.96,-12.27,down
ATLANTAA,0.02,-0.45,-0.47000000000000003,down
ATLANTAELE,-2.55,0.91,3.46,up
ATLASCYCLE,0.43,2.09,1.66,up
ATLPP,-0.33,-0.98,-0.6499999999999999,down
ATMASTCO,0.24,1.05,0.81,up
ATUL,0.04,-0.33,-0.37,down
ATULAUTO,-0.24,-0.46,-0.22000000000000003,down
AUBANK,3.45,-1.89,-5.34,down
AURIONPRO,0.14,-0.38,-0.52,down
AUROIMPEX,1.75,1.34,-0.4099999999999999,down
AUROPHARMA,-1.52,4.35,5.869999999999999,up
AURUM,-0.18,1.59,1.77,up
AURUS,-2.98,5.48,8.46,up
AUSL,,-4.9,,added
AUSOMENT,-1.91,1.88,3.79,up
AUTOAXLES,-4.66,-1.14,3.5200000000000005,up
AUTOBEES,-0.67,2.07,2.7399999999999998,up
AUTOIETF,-0.66,1.79,2.45,up
AUTOIND,1.25,-2.05,-3.3,down
AVADHSUGAR,-1.04,-0.31,0.73,up
AVALON,-2.67,10.75,13.42,up
AVANA,0.0,-4.13,-4.13,down
AVANTEL,-0.3,-0.61,-0.31,down
AVANTIFEED,-0.8,1.64,2.44,up
AVATAR,2.0,1.99,-0.010000000000000009,down
AVG,-0.19,-1.83,-1.6400000000000001,down
AVIANSH,0.96,0.48,-0.48,down
AVIENCE,-2.36,-0.79,1.5699999999999998,up
AVL,0.56,-1.79,-2.35,down
AVONMORE,-2.37,-1.53,0.8400000000000001,up
AVPINFRA,-1.57,-3.19,-1.6199999999999999,down
AVROIND,-0.55,-0.11,0.44000000000000006,up
AVTNPL,1.1,0.38,-0.7200000000000001,down
AWFIS,-1.2,-0.09,1.1099999999999999,up
AWHCL,-0.29,-2.45,-2.16,down
AWL,1.98,0.06,-1.92,down
AXISBANK,0.17,-1.43,-1.5999999999999999,down
AXISCADES,2.58,-2.02,-4.6,down
AXITA,-0.54,0.0,0.54,up
AYE,0.39,2.35,1.96,up
AYMSYNTEX,-1.14,-1.47,-0.33000000000000007,down
AZAD,0.37,1.35,0.9800000000000001,up
BABAFP,-1.96,,,removed
BAFNAPH,1.99,0.16,-1.83,down
BAGDIGITAL,0.55,,,removed
BAGFILMS,-1.14,-0.69,0.44999999999999996,up
BAGMANE,0.51,0.25,-0.26,down
BAHETI,0.1,0.79,0.6900000000000001,up
BAIDFIN,0.0,-0.69,-0.69,down
BAJAJ-AUTO,-1.53,0.36,1.8900000000000001,up
BAJAJCON,0.41,0.91,0.5,up
BAJAJELEC,9.88,-2.97,-12.850000000000001,down
BAJAJFINSV,0.0,-3.7,-3.7,down
